Original Title,Authors,cleaned_title
Optimizing Length Compression in Large Reasoning Models,"Zhengxiang Cheng,Dongping Chen,Mingyang Fu,Tianyi Zhou",optimizing length compression large reasoning model
AgentDistill: Training-Free Agent Distillation with Generalizable MCP Boxes,"Jiahao Qiu,Xinzhe Juan,Yimin Wang,Ling Yang,Xuan Qi,Tongcheng Zhang,Jiacheng Guo,Yifu Lu,Zixin Yao,Hongru Wang,Shilong Liu,Xun Jiang,Liu Leqi,Mengdi Wang",agentdistill trainingfree agent distillation generalizable mcp box
From Points to Places: Towards Human Mobility-Driven Spatiotemporal Foundation Models via Understanding Places,"Mohammad Hashemi,Andreas Zufle",point place towards human mobilitydriven spatiotemporal foundation model via understanding place
Enhancing Symbolic Machine Learning by Subsymbolic Representations,"Stephen Roth,Lennart Baur,Derian Boer,Stefan Kramer",enhancing symbolic machine learning subsymbolic representation
QUEST: Quality-aware Semi-supervised Table Extraction for Business Documents,"Eliott Thomas,Mickael Coustaty,Aurelie Joseph,Gaspar Deloin,Elodie Carel,Vincent Poulain D'Andecy,Jean-Marc Ogier",quest qualityaware semisupervised table extraction business document
Doppelgänger Method: Breaking Role Consistency in LLM Agent via Prompt-based Transferable Adversarial Attack,"Daewon Kang,YeongHwan Shin,Doyeon Kim,Kyu-Hwan Jung,Meong Hi Son",doppelgnger method breaking role consistency llm agent via promptbased transferable adversarial attack
Toward Safety-First Human-Like Decision Making for Autonomous Vehicles in Time-Varying Traffic Flow,"Xiao Wang,Junru Yu,Jun Huang,Qiong Wu,Ljubo Vacic,Changyin Sun",toward safetyfirst humanlike decision making autonomous vehicle timevarying traffic flow
LLM-Powered Swarms: A New Frontier or a Conceptual Stretch?,"Muhammad Atta Ur Rahman,Melanie Schranz",llmpowered swarm new frontier conceptual stretch
GUI-Robust: A Comprehensive Dataset for Testing GUI Agent Robustness in Real-World Anomalies,"Jingqi Yang,Zhilong Song,Jiawei Chen,Mingli Song,Sheng Zhou,linjun sun,Xiaogang Ouyang,Chun Chen,Can Wang",guirobust comprehensive dataset testing gui agent robustness realworld anomaly
AST-Enhanced or AST-Overloaded? The Surprising Impact of Hybrid Graph Representations on Code Clone Detection,"Zixian Zhang,Takfarinas Saber",astenhanced astoverloaded surprising impact hybrid graph representation code clone detection
Don't Make It Up: Preserving Ignorance Awareness in LLM Fine-Tuning,"William F. Shen,Xinchi Qiu,Nicola Cancedda,Nicholas D. Lane",dont make preserving ignorance awareness llm finetuning
AviationLLM: An LLM-based Knowledge System for Aviation Training,"Jia'ang Wan,Feng Shen,Fujuan Li,Yanjin Sun,Yan Li,Shiwen Zhang",aviationllm llmbased knowledge system aviation training
ADRD: LLM-Driven Autonomous Driving Based on Rule-based Decision Systems,"Fanzhi Zeng,Siqi Wang,Chuzhao Zhu,Li Li",adrd llmdriven autonomous driving based rulebased decision system
Don't throw the baby out with the bathwater: How and why deep learning for ARC,"Jack Cole,Mohamed Osman",dont throw baby bathwater deep learning arc
Mxplainer: Explain and Learn Insights by Imitating Mahjong Agents,"Lingfeng Li,Yunlong Lu,Yongyi Wang,Qifan Zheng,Wenxin Li",mxplainer explain learn insight imitating mahjong agent
Reinforcement Learning with Verifiable Rewards Implicitly Incentivizes Correct Reasoning in Base LLMs,"Xumeng Wen,Zihan Liu,Shun Zheng,Zhijian Xu,Shengyu Ye,Zhirong Wu,Xiao Liang,Yang Wang,Junjie Li,Ziming Miao,Jiang Bian,Mao Yang",reinforcement learning verifiable reward implicitly incentivizes correct reasoning base llm
"Causes in neuron diagrams, and testing causal reasoning in Large Language Models. A glimpse of the future of philosophy?","Louis Vervoort,Vitaly Nikolaev",cause neuron diagram testing causal reasoning large language model glimpse future philosophy
ImpReSS: Implicit Recommender System for Support Conversations,"Omri Haller,Yair Meidan,Dudu Mimran,Yuval Elovici,Asaf Shabtai",impress implicit recommender system support conversation
From Black Boxes to Transparent Minds: Evaluating and Enhancing the Theory of Mind in Multimodal Large Language Models,"Xinyang Li,Siqi Liu,Bochao Zou,Jiansheng Chen,Huimin Ma",black box transparent mind evaluating enhancing theory mind multimodal large language model
