Original Title,Authors
On Vanishing Variance in Transformer Length Generalization,"Ruining Li,Gabrijel Boduljak,Jensen(Jinghao)Zhou"
Spline-based Transformers,"Prashanth Chandran,Agon Serifi,Markus Gross,Moritz Bächer"
Towards Green AI-Native Networks: Evaluation of Neural Circuit Policy for Estimating Energy Consumption of Base Stations,"Selim Ickin,Shruti Bothe,Aman Raparia,Nitin Khanna,Erik Sanders"
SCMPPI: Supervised Contrastive Multimodal Framework for Predicting Protein-Protein Interactions,"Shengrui XU,Tianchi Lu,Zikun Wang,Jixiu Zhai,Jingwan Wang"
GPTQv2: Efficient Finetuning-Free Quantization for Asymmetric Calibration,"Yuhang Li,Ruokai Yin,Donghyun Lee,Shiting Xiao,Priyadarshini Panda"
STOOD-X methodology: using statistical nonparametric test for OOD Detection Large-Scale datasets enhanced with explainability,"Iván Sevillano-García,Julián Luengo,Francisco Herrera"
Compositionality Unlocks Deep Interpretable Models,"Thomas Dooms,Ward Gauderis,Geraint A. Wiggins,Jose Oramas"
BECAME: BayEsian Continual Learning with Adaptive Model MErging,"Mei Li,Yuxiang Lu,Qinyan Dai,Suizhi Huang,Yue Ding,Hongtao Lu"
Integrating Human Knowledge Through Action Masking in Reinforcement Learning for Operations Research,"Mirko Stappert,Bernhard Lutz,Niklas Goby,Dirk Neumann"
MiLo: Efficient Quantized MoE Inference with Mixture of Low-Rank Compensators,"Beichen Huang,Yueming Yuan,Zelei Shao,Minjia Zhang"
Prompt Optimization with Logged Bandit Data,"Haruka Kiyohara,Daniel Yiming Cao,Yuta Saito,Thorsten Joachims"
Solving the Paint Shop Problem with Flexible Management of Multi-Lane Buffers Using Reinforcement Learning and Action Masking,"Mirko Stappert,Bernhard Lutz,Janis Brammer,Dirk Neumann"
Reservoir Computing: A New Paradigm for Neural Networks,Felix Grezes
Grammar-based Ordinary Differential Equation Discovery,"Karin L. Yu,Eleni Chatzi,Georgios Kissas"
Efficient Model Editing with Task-Localized Sparse Fine-tuning,"Leonardo Iurada,Marco Ciccone,Tatiana Tommasi"
Variational Online Mirror Descent for Robust Learning in Schrödinger Bridge,"Dong-Sig Han,Jaein Kim,Hee Bin Yoo,Byoung-Tak Zhang"
Learning Geometrically-Informed Lyapunov Functions with Deep Diffeomorphic RBF Networks,"Samuel Tesfazgi,Leonhard Sprandl,Sandra Hirche"
Improving Counterfactual Truthfulness for Molecular Property Prediction through Uncertainty Quantification,"Jonas Teufel,Annika Leinweber,Pascal Friederich"
State-Space Model Inspired Multiple-Input Multiple-Output Spiking Neurons,"Sanja Karilanova,Subhrakanti Dey,Ayça Özçelikkale"
Knowledge Graph Completion with Mixed Geometry Tensor Factorization,"Viacheslav Yusupov,Maxim Rakhuba,Evgeny Frolov"
"Rethinking RL Scaling for Vision Language Models: A Transparent, From-Scratch Framework and Comprehensive Evaluation Scheme","Yan Ma,Steffi Chern,Xuyang Shen,Yiran Zhong,Pengfei Liu"
GPG: A Simple and Strong Reinforcement Learning Baseline for Model Reasoning,"Xiangxiang Chu,Hailang Huang,Xiao Zhang,Fei Wei,Yong Wang"
Fourier Sliced-Wasserstein Embedding for Multisets and Measures,"Tal Amir,Nadav Dym"
Probabilistic Pontryagin's Maximum Principle for Continuous-Time Model-Based Reinforcement Learning,"David Leeftink,Çağatay Yıldız,Steffen Ridderbusch,Max Hinne,Marcel van Gerven"
ZClip: Adaptive Spike Mitigation for LLM Pre-Training,"Abhay Kumar,Louis Owen,Nilabhra Roy Chowdhury,Fabian Güra"
VISTA: Unsupervised 2D Temporal Dependency Representations for Time Series Anomaly Detection,"Sinchee Chin,Fan Zhang,Xiaochen Yang,Jing-Hao Xue,Wenming Yang,Peng Jia,Guijin Wang,Luo Yingqun"
Hierarchical Policy-Gradient Reinforcement Learning for Multi-Agent Shepherding Control of Non-Cohesive Targets,"Stefano Covone,Italo Napolitano,Francesco De Lellis,Mario di Bernardo"
